E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
406.1,329,406.1,340,406.1,288,406.1,285,406.1,262,406.1,227,406.1,191,406.1,194
407.9,346,407.9,324,407.9,331,407.9,262,407.9,261,407.9,250,407.9,211,407.9,191
409.6,359,409.6,324,409.6,301,409.6,314,409.6,245,409.6,205,409.6,178,409.6,168
411.4,351,411.4,296,411.4,321,411.4,304,411.4,258,411.4,231,411.4,207,411.4,176
413.1,346,413.1,313,413.1,320,413.1,295,413.1,257,413.1,240,413.1,217,413.1,181
414.9,356,414.9,321,414.9,329,414.9,293,414.9,285,414.9,225,414.9,205,414.9,174
416.6,355,416.6,329,416.6,341,416.6,291,416.6,223,416.6,238,416.6,190,416.6,181
418.4,364,418.4,325,418.4,314,418.4,277,418.4,279,418.4,253,418.4,212,418.4,191
420.1,389,420.1,312,420.1,310,420.1,299,420.1,288,420.1,234,420.1,218,420.1,181
421.9,317,421.9,341,421.9,327,421.9,282,421.9,262,421.9,229,421.9,191,421.9,168
423.6,372,423.6,369,423.6,320,423.6,263,423.6,263,423.6,210,423.6,178,423.6,157
425.4,364,425.4,326,425.4,310,425.4,257,425.4,261,425.4,260,425.4,220,425.4,173
427.1,358,427.1,340,427.1,326,427.1,275,427.1,250,427.1,219,427.1,184,427.1,146
428.9,358,428.9,353,428.9,327,428.9,262,428.9,208,428.9,198,428.9,176,428.9,161
430.6,346,430.6,339,430.6,286,430.6,256,430.6,216,430.6,217,430.6,185,430.6,185
432.4,374,432.4,368,432.4,274,432.4,300,432.4,267,432.4,210,432.4,207,432.4,155
434.1,363,434.1,319,434.1,273,434.1,273,434.1,253,434.1,231,434.1,159,434.1,177
435.9,354,435.9,327,435.9,312,435.9,236,435.9,222,435.9,216,435.9,158,435.9,176
437.6,344,437.6,298,437.6,267,437.6,298,437.6,237,437.6,199,437.6,187,437.6,160
439.4,333,439.4,333,439.4,301,439.4,306,439.4,249,439.4,203,439.4,183,439.4,209
441.1,355,441.1,330,441.1,290,441.1,278,441.1,235,441.1,235,441.1,173,441.1,158
442.9,362,442.9,368,442.9,290,442.9,264,442.9,219,442.9,213,442.9,169,442.9,152
444.6,339,444.6,314,444.6,292,444.6,288,444.6,253,444.6,196,444.6,175,444.6,151
446.4,368,446.4,360,446.4,328,446.4,258,446.4,238,446.4,186,446.4,170,446.4,173
448.1,342,448.1,328,448.1,289,448.1,271,448.1,251,448.1,228,448.1,181,448.1,162
449.9,329,449.9,313,449.9,284,449.9,256,449.9,216,449.9,185,449.9,178,449.9,173
451.6,357,451.6,342,451.6,296,451.6,243,451.6,219,451.6,205,451.6,180,451.6,159
453.4,371,453.4,300,453.4,266,453.4,248,453.4,210,453.4,197,453.4,148,453.4,146
455.1,306,455.1,325,455.1,264,455.1,226,455.1,234,455.1,191,455.1,169,455.1,174
456.9,323,456.9,310,456.9,280,456.9,256,456.9,228,456.9,198,456.9,190,456.9,128
458.6,306,458.6,291,458.6,274,458.6,260,458.6,208,458.6,190,458.6,183,458.6,140
460.4,317,460.4,271,460.4,268,460.4,232,460.4,219,460.4,234,460.4,163,460.4,141
462.1,304,462.1,281,462.1,287,462.1,246,462.1,216,462.1,189,462.1,166,462.1,124
463.9,278,463.9,292,463.9,254,463.9,263,463.9,209,463.9,203,463.9,169,463.9,164
