E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8
423.6,352,423.6,253,423.6,158,423.6,123,423.6,69,423.6,51,423.6,36,423.6,27
425.4,338,425.4,252,425.4,165,425.4,106,425.4,68,425.4,59,425.4,31,425.4,34
427.1,381,427.1,242,427.1,157,427.1,118,427.1,69,427.1,51,427.1,42,427.1,30
428.9,358,428.9,271,428.9,172,428.9,111,428.9,91,428.9,49,428.9,45,428.9,31
430.6,376,430.6,222,430.6,179,430.6,101,430.6,82,430.6,59,430.6,40,430.6,37
432.4,359,432.4,277,432.4,172,432.4,122,432.4,76,432.4,40,432.4,37,432.4,24
434.1,324,434.1,236,434.1,160,434.1,99,434.1,92,434.1,46,434.1,47,434.1,23
435.9,365,435.9,230,435.9,157,435.9,96,435.9,71,435.9,61,435.9,30,435.9,36
437.6,387,437.6,245,437.6,151,437.6,105,437.6,81,437.6,55,437.6,38,437.6,35
439.4,358,439.4,234,439.4,155,439.4,93,439.4,82,439.4,50,439.4,36,439.4,38
441.1,349,441.1,239,441.1,165,441.1,105,441.1,76,441.1,50,441.1,34,441.1,37
442.9,334,442.9,232,442.9,163,442.9,92,442.9,92,442.9,45,442.9,49,442.9,26
444.6,340,444.6,255,444.6,165,444.6,116,444.6,63,444.6,74,444.6,36,444.6,18
446.4,369,446.4,234,446.4,160,446.4,112,446.4,73,446.4,53,446.4,40,446.4,31
448.1,376,448.1,226,448.1,157,448.1,117,448.1,77,448.1,49,448.1,37,448.1,38
449.9,337,449.9,238,449.9,146,449.9,105,449.9,74,449.9,42,449.9,36,449.9,27
451.6,337,451.6,226,451.6,151,451.6,84,451.6,69,451.6,58,451.6,32,451.6,34
453.4,337,453.4,233,453.4,147,453.4,108,453.4,74,453.4,45,453.4,37,453.4,33
455.1,330,455.1,223,455.1,156,455.1,98,455.1,67,455.1,59,455.1,36,455.1,38
456.9,297,456.9,220,456.9,149,456.9,92,456.9,79,456.9,57,456.9,29,456.9,38
458.6,301,458.6,238,458.6,156,458.6,94,458.6,57,458.6,50,458.6,29,458.6,32
460.4,326,460.4,209,460.4,149,460.4,97,460.4,68,460.4,42,460.4,39,460.4,22
462.1,304,462.1,193,462.1,137,462.1,96,462.1,75,462.1,56,462.1,32,462.1,18
463.9,279,463.9,215,463.9,151,463.9,87,463.9,60,463.9,38,463.9,30,463.9,25
